persona_id,problem_id,modifier_id,query,looks_human_mobile,not_ai_slop,single_language,matches_problem,matches_persona,no_pii,passed,reasoning
uk_freelance_designer,card_not_working_abroad,typing_from_phone_with_typos,"Hey, my card just got declined while I'm in Thailand and I haven't changed any settings or anything, so I'm wondering if it's frozen or just a problem with the merchant, can you check it for me? Cheers!",False,True,True,True,False,True,False,"The query does not pass the 'looks_human_mobile' check because it is too polished and lacks the casual, rushed feel expected from someone multitasking on a phone. Additionally, it does not match the persona's communication style, as it is more formal and complete than what would be expected from someone typing quickly while distracted."
uk_freelance_designer,virtual_card_missing,empty,"Hi there, I'm trying to set up a virtual card for online safety but I can't seem to find where to generate one in the app. Can you point me in the right direction? Cheers!",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, lacks AI-like phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style, and contains no personal information."
uk_freelance_designer,virtual_card_missing,poor_internet_connection,"Hey, I'm trying to generate a virtual card for online safety but I can't find where to do it in the app. Can you tell me how to sort that out? Cheers.",False,True,True,True,False,True,False,"The query is too long and structured for a mobile message, lacking the abruptness expected from a user with weak signal. It also does not reflect the impatience with UI complexity, as it is phrased in a polite and complete manner. The persona would likely use shorter, more direct language given the context of connectivity issues."
uk_freelance_designer,virtual_card_missing,anxious_security_fear,"Hi there, I’ve heard about some recent scams and I’m really concerned about my online security. I want to generate a virtual card for safer transactions, but I can’t find where to do that in the app. Can someone help me out with this ASAP? Cheers!",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, avoids assistant-style phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style, and contains no personal information."
uk_freelance_designer,virtual_card_missing,angry_after_waiting,"I've been trying to find how to generate a virtual card in the app for ages now, and it's really frustrating! I've already waited on hold and reached out before, but no luck. I need this sorted immediately or I’ll have to consider switching to another provider!",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, lacks AI-like phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style, and contains no personal information."
uk_freelance_designer,virtual_card_missing,typing_from_phone_with_typos,"Hey, I'm trying to sort out a virtual card for some online safety but I can't find where to generate one in the app, it's a bit of a faff honestly, can you help me out? Cheers!",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for a mobile user, matches the user's problem, aligns with the persona's communication style, and contains no personal information."
uk_freelance_designer,apple_pay_not_working,empty,"I'm trying to add my Revolut card to Apple Pay but keep getting an error message, even though the card works fine for regular purchases. Can you help me sort this out? Cheers!",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, lacks AI-like phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style, and contains no personal information."
uk_freelance_designer,apple_pay_not_working,poor_internet_connection,"Hey, I'm trying to add my Revolut card to Apple Pay but keep getting an error message. The card works fine for regular purchases, so what's going on? I'm on a train and signal's weak, so hoping for a quick fix. Cheers!",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, lacks AI-like phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style, and contains no personal information."
uk_freelance_designer,apple_pay_not_working,anxious_security_fear,"Hi there, I'm trying to add my Revolut card to Apple Pay, but I keep getting an error message. The card works fine for regular purchases, so I'm a bit concerned, especially after hearing about all the scams lately. Can someone please help me sort this out? I really need to ensure everything's secure. Cheers!",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, avoids assistant-style phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style, and contains no personal information."
uk_freelance_designer,apple_pay_not_working,angry_after_waiting,"I've tried adding my Revolut card to Apple Pay multiple times now and keep getting an error message! It works fine for regular purchases but this is getting ridiculous. Sort it out, or I might have to consider switching to another provider!",True,True,True,True,True,True,True,"All checks pass. The query is informal and plausible for mobile typing, lacks assistant-style phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style with a frustrated tone, and contains no personal information."
uk_freelance_designer,apple_pay_not_working,typing_from_phone_with_typos,"Hey, I’m trying to add my Revolut card to Apple Pay but keep getting an error message, it’s really frustrating because it works fine for other purchases. Can you help me out with this? Cheers!",False,True,True,True,False,True,False,"The query does not pass the 'looks_human_mobile' check because it is too polished and lacks the casual, rushed typing style expected from someone multitasking on a phone. Additionally, it does not match the persona's communication style, as it is too formal and complete for someone who is tech-savvy but impatient and typing casually."
